Price,Close,High,Low,Open,Volume
Ticker,IUKP.L,IUKP.L,IUKP.L,IUKP.L,IUKP.L
Date,,,,,
2011-02-25,406.46331787109375,412.8300149497903,402.7269840154569,403.4244147580248,313761
2011-02-28,414.8326416015625,416.87515832773437,405.61635271345705,409.20323879442384,602015
2011-03-01,410.0999450683594,417.07443382664314,410.49848120184686,417.07443382664314,111361
2011-03-02,410.4486999511719,412.0926806033657,408.35634711821615,409.70143325414193,264334
2011-03-03,414.68316650390625,414.68316650390625,405.1181477323969,405.1181477323969,149462
2011-03-04,420.06341552734375,428.4327942642589,414.97801400294753,418.369599294456,110419
2011-03-07,420.7608947753906,422.95288893003186,418.46928940073826,418.46928940073826,145996
2011-03-08,418.967529296875,422.26047725339424,417.3634113778541,420.5617043362326,307721
2011-03-09,418.5190124511719,422.85316388911275,417.4728515965841,422.85316388911275,133913
2011-03-10,411.6441345214844,418.41438131524905,399.5384252249891,399.5384252249891,194759
2011-03-11,409.1533203125,410.52330892516636,408.00751773590406,410.49840612257015,73909
2011-03-14,406.46331787109375,409.312880563272,405.82563563134426,409.1036543811379,363300
2011-03-15,399.53857421875,403.72327967735004,392.42759124986696,396.9480437161099,176009
2011-03-16,392.8131408691406,399.72186015543724,390.3720578248497,398.54218477528536,262160
2011-03-17,401.6309509277344,402.32838160823616,391.0894915869116,392.5641088303304,236465
2011-03-18,403.8227844238281,406.5129558530428,403.52389000118217,406.5129558530428,494150
2011-03-21,406.4134521484375,407.33011269951203,402.926207471301,406.3138105049615,69462
2011-03-22,405.6163330078125,409.10357728254326,400.5349138405048,400.5349138405048,773822
2011-03-23,409.0039367675781,408.6054006449347,404.61997860578657,405.5166924833235,436688
2011-03-24,412.8897399902344,413.48755941041276,407.7087092968589,407.7087092968589,99394
2011-03-25,416.07806396484375,415.2809613189538,411.960131051135,415.081708462249,169100
2011-03-28,412.2917785644531,415.8786634437343,412.18219408511663,412.49106177132643,75519
