Price,Close,High,Low,Open,Volume
Ticker,IGF,IGF,IGF,IGF,IGF
Date,,,,,
2010-11-01,21.88465690612793,22.111917625667395,21.81094882703694,22.0627789062734,32800
2010-11-02,22.191761016845703,22.24704089004429,22.099627113827236,22.216328026996475,25700
2010-11-03,22.19790267944336,22.24089787699568,21.903077463486348,22.228613200114655,311900
2010-11-04,22.572580337524414,22.615575541198478,22.431310047872078,22.431310047872078,58000
2010-11-05,22.431304931640625,22.517295319375688,22.320745192249166,22.517295319375688,72000
2010-11-08,22.33302879333496,22.33302879333496,22.16104802614115,22.326885284185337,176100
2010-11-09,22.12419319152832,22.449728872689338,22.05048748586325,22.388307841812136,31500
2010-11-10,22.154909133911133,22.271610058389086,21.9276484523224,22.271610058389086,21900
2010-11-11,21.946077346801758,21.976787874030137,21.853945765116617,21.89079746056546,27400
2010-11-12,21.798660278320312,21.94607170836848,21.657387671852373,21.94607170836848,36300
2010-11-15,21.79251480102539,21.946069726914573,21.749519609221398,21.946069726914573,27200
2010-11-16,21.33799171447754,21.620532191705806,21.245857829569093,21.577537003565073,28600
2010-11-17,21.473119735717773,21.53454311037101,21.39327286326181,21.44855038585648,30600
2010-11-18,21.77409553527832,21.792521382169546,21.68196161469631,21.792521382169546,136600
2010-11-19,21.79251480102539,21.798658310175803,21.497689624485627,21.749519609221398,50100
2010-11-22,21.67581558227539,21.700384934658473,21.41784206837784,21.528401811039306,53100
2010-11-23,21.104591369628906,21.3564213779973,21.043167987671712,21.3564213779973,42700
2010-11-24,21.33799171447754,21.368702228426347,21.264283669325973,21.33799171447754,46400
2010-11-26,21.073881149291992,21.16601270894178,20.957177893448122,20.963321403262263,28900
2010-11-29,21.018604278564453,21.043171292142716,20.72377902805997,20.846621125139727,48600
2010-11-30,20.80976104736328,20.944887768310473,20.71148600346448,20.71148600346448,26600
2010-12-01,21.288860321044922,21.295001488716654,21.07388430659179,21.215154593669965,72200
2010-12-02,21.485414505004883,21.534553227814012,21.19673036615943,21.19673036615943,35500
2010-12-03,21.694246292114258,21.694246292114258,21.491554947136244,21.54683483086896,40000
2010-12-06,21.57754135131836,21.626677714924746,21.509976801179892,21.5713978414535,122300
2010-12-07,21.509977340698242,21.823228402850678,21.491551496766494,21.823228402850678,19600
2010-12-08,21.522262573242188,21.608252971226797,21.368707621680347,21.55911426205695,55100
2010-12-09,21.49155044555664,21.614392523176473,21.356421348499893,21.614392523176473,65400
2010-12-10,21.546831130981445,21.5898263283837,21.44241254938845,21.52840294419296,180600
2010-12-13,21.786380767822266,21.896940538104847,21.688105676800305,21.743385561941594,35900
2010-12-14,21.767946243286133,21.915360008455593,21.737235725602336,21.866221305711672,44500
2010-12-15,21.485414505004883,21.712675240338932,21.46084514360032,21.712675240338932,49300
2010-12-16,21.589820861816406,21.602103192482126,21.405553098963516,21.460832959206996,112100
2010-12-17,21.473119735717773,21.53454311037101,21.356418838469867,21.53454311037101,42600
2010-12-20,21.595539093017578,21.63948331043101,21.476259878798047,21.63948331043101,78700
2010-12-21,21.70226287841797,21.76503965573861,21.63320698649693,21.758762935918767,393800
2010-12-22,21.79643440246582,21.84037863353684,21.708545940323777,21.708545940323777,182800
2010-12-23,21.815263748168945,21.82154046820595,21.68343107436621,21.68343107436621,40000
2010-12-27,21.771316528320312,21.783872361447546,21.601816373273113,21.783872361447546,58100
2010-12-28,21.771316528320312,21.834093299176182,21.68342809120998,21.758760695193082,36000
2010-12-29,21.9533748626709,21.978484136828513,21.80898635844724,21.896874804950286,81000
2010-12-30,21.940824508666992,21.99104546430717,21.85293604021082,21.96593618387766,144500
2010-12-31,22.00987434387207,22.072651119792592,21.884318397250535,21.884318397250535,155400
2011-01-03,22.15426254272461,22.2421509857291,22.08520665328381,22.08520665328381,36200
2011-01-04,22.110319137573242,22.27981931024605,21.99731902245804,22.27981931024605,67100
2011-01-05,21.940824508666992,22.0036013019125,21.82154524880691,21.890601158245662,71100
2011-01-06,21.808982849121094,22.009871378739998,21.683426919414238,22.009871378739998,142300
2011-01-07,21.752485275268555,21.84665043717672,21.60809438307123,21.808985330325633,48800
2011-01-10,21.620651245117188,21.664595468386853,21.50137440978246,21.658318748539998,83000
2011-01-11,21.783872604370117,21.783872604370117,21.61437244743274,21.670872499745197,40600
2011-01-12,22.129154205322266,22.147986761720336,21.947098177538177,21.978486569795233,41900
2011-01-13,22.260984420776367,22.29865192417575,22.19192852860111,22.260984420776367,71100
2011-01-14,22.42420768737793,22.468151910254427,22.2421516813007,22.323763407262998,21600
2011-01-18,22.574874877929688,22.650209890667966,22.480709704177958,22.480709704177958,84100
2011-01-19,22.574874877929688,22.807154241701596,22.486986424515777,22.71298667316912,77400
2011-01-20,22.68787384033203,22.7192622299751,22.493264387676632,22.493264387676632,37800
2011-01-21,22.694154739379883,22.807154866803682,22.662763952488195,22.807154866803682,79000
2011-01-24,22.788320541381836,22.8385438859628,22.650211133345934,22.650211133345934,45700
2011-01-25,22.631376266479492,22.681599611248515,22.50582029933782,22.66276465956969,31400
2011-01-26,22.800872802734375,22.813428636911073,22.662761021571196,22.681595970226496,49200
2011-01-27,22.96409797668457,22.989207252142986,22.819707070200106,22.863651295728186,50300
2011-01-28,22.56231689453125,22.945261457761738,22.499540118006475,22.92642890376041,63000
2011-01-31,22.819704055786133,22.8259831699068,22.700427230077555,22.706703949417854,44000
2011-02-01,23.202651977539062,23.221486927866806,22.964098291341006,22.99548668217962,71700
2011-02-02,23.0833683013916,23.152424177663338,23.020589143517295,23.121035796116185,77800
2011-02-03,23.12103843688965,23.133591875118295,22.86992656627164,23.05198255273068,69600
2011-02-04,23.064538955688477,23.133592446773545,22.901315517319265,23.133592446773545,39700
2011-02-07,23.12103843688965,23.202647759277262,23.06453838573961,23.06453838573961,53300
2011-02-08,23.190095901489258,23.215207571811728,23.04570738930608,23.04570738930608,38900
2011-02-09,23.15243148803711,23.234040826871826,22.99548713596621,23.0457080833429,31800
2011-02-10,22.98920249938965,23.03942582948475,22.863646568932094,22.89503734763162,25300
2011-02-11,23.19637680053711,23.19637680053711,22.68787621391043,22.800876344271913,46000
2011-02-14,23.04570770263672,23.102207764240113,22.97665180570138,23.07081937330061,23700
2011-02-15,23.00176429748535,23.070820196885855,22.932708398084845,23.05826436110569,29000
2011-02-16,23.202651977539062,23.221486927866806,23.070819299148443,23.10220768998706,56100
2011-02-17,23.42865562438965,23.42865562438965,23.190099508779426,23.190099508779426,56000
2011-02-18,23.41609764099121,23.460041869472988,23.328209184027656,23.41609764099121,55900
2011-02-22,22.951539993286133,23.215205321775358,22.926428325397502,23.058260989642115,64100
