Date,Monthly_Return_GBP
2010-12-31,-0.015120363153823924
2011-01-31,0.025784583893125435
2011-02-28,0.0281164435376422
2011-03-31,-0.0070364627936319035
2011-04-30,0.06177197561869985
2011-05-31,0.002828082672622134
2011-06-30,-0.0327550041074296
2011-07-31,0.0429460739227403
2011-08-31,-0.00032731599198609906
2011-09-30,-0.040070535475110525
2011-10-31,0.058772988576810015
2011-11-30,-0.062457603084833724
2011-12-31,0.022804517031662863
2012-01-31,0.04083125068408244
2012-02-29,0.030148270660370846
2012-03-31,-0.011914621578057338
2012-04-30,0.031228614613912242
2012-05-31,-0.041833390919563396
2012-06-30,0.011015725875562099
2012-07-31,0.04783919504625622
2012-08-31,0.004354460776430535
2012-09-30,0.03934364480453012
2012-10-31,0.003572699453131989
2012-11-30,-0.009304733381108043
2012-12-31,0.004265722723014953
2013-01-31,-0.035272931276797315
2013-02-28,-0.02956060936720961
2013-03-31,0.001507854147756671
2013-04-30,0.04168182059453818
2013-05-31,-0.048742607853447084
2013-06-30,-0.030815740945169923
2013-07-31,0.00998146288486601
2013-08-31,0.00719589855827274
2013-09-30,0.050454320508214856
2013-10-31,0.00909119227730093
2013-11-30,0.018220990733696985
2013-12-31,0.011604431532525439
2014-01-31,0.019029720320769883
2014-02-28,0.02331846212578914
2014-03-31,-0.003170048783184276
2014-04-30,0.024272212761443868
2014-05-31,0.009116765439412422
2014-06-30,0.018584257677907834
2014-07-31,-0.010443306198115732
2014-08-31,0.0006983243305649367
2014-09-30,-0.037400059150223375
2014-10-31,-0.0026892889472228676
2014-11-30,-0.008306109123468852
2014-12-31,-0.010072936315841607
2015-01-31,0.0048680845166308995
2015-02-28,0.007955586547724769
2015-03-31,-0.037622507703812036
2015-04-30,0.02934797761523078
2015-05-31,-0.018110570718397057
2015-06-30,0.007609799100959824
2015-07-31,0.0001379323958619061
2015-08-31,-0.0201088207160397
2015-09-30,-0.005173810078056507
2015-10-31,0.016739989813046252
2015-11-30,-0.020101824724550243
2015-12-31,-0.025263663285559734
2016-01-31,-0.029659639260748216
2016-02-29,-0.02467028931423354
2016-03-31,0.07442225950663883
2016-04-30,0.032313544454359855
2016-05-31,-0.0035087927568938637
2016-06-30,-0.05142179028773197
2016-07-31,-0.009948313856056101
2016-08-31,-0.0036127521775982663
2016-09-30,-0.012848100566880571
2016-10-31,-0.07206344337251491
2016-11-30,-0.009780949045941956
2016-12-31,-0.008088079040517004
2017-01-31,0.01872550116690408
2017-02-28,0.008294279972084428
2017-03-31,0.00018387332102220988
2017-04-30,0.045549147815697966
2017-05-31,0.006686137066734821
2017-06-30,0.02066076591381938
2017-07-31,0.018012435985728326
2017-08-31,-0.010411171262934227
2017-09-30,0.03893052304757161
2017-10-31,-0.01431590064583843
2017-11-30,0.014243936310977201
2017-12-31,0.013986949649730462
2018-01-31,0.04028839338445778
2018-02-28,-0.03962355207879431
2018-03-31,0.014484047301923875
2018-04-30,-0.03378304862632575
2018-05-31,-0.030372269950186492
2018-06-30,-0.02048628809058095
2018-07-31,0.018110895512333913
2018-08-31,-0.009274169258694953
2018-09-30,0.003790270949248997
2018-10-31,-0.048190350717021824
2018-11-30,0.002338353348200206
2018-12-31,0.011354462886409955
2019-01-31,0.0681760573329846
2019-02-28,0.01325944977919602
2019-03-31,0.009064299103818563
2019-04-30,-0.005183111081962788
2019-05-31,-0.008860893421881455
2019-06-30,0.038017116311818366
2019-07-31,-0.038255947351176434
2019-08-31,0.04098746219399296
2019-09-30,0.0011272102230310832
2019-10-31,0.054175972783144566
2019-11-30,0.005619372020748914
2019-12-31,0.020854535283193254
2020-01-31,0.022583264661962144
2020-02-29,-0.0045390178482142
2020-03-31,-0.10071923035902242
2020-04-30,0.05691813356802089
2020-05-31,0.012280727665627378
2020-06-30,0.02037048405776898
2020-07-31,0.09861009518952701
2020-08-31,8.542066552585936e-05
2020-09-30,-0.040918882955020996
2020-10-31,-4.711033058379943e-05
2020-11-30,0.06981201026863104
2020-12-31,0.02394881213453859
2021-01-31,-0.011521115662088799
2021-02-28,-0.002470551795982434
2021-03-31,-0.033172355812613796
2021-04-30,0.025587506307595653
2021-05-31,0.02263540761702698
2021-06-30,-0.0022217208783438247
2021-07-31,0.023098281237717844
2021-08-31,-0.017988958857136472
2021-09-30,-0.03898327658846745
2021-10-31,0.033334969433648
2021-11-30,-0.036335427898108286
2021-12-31,0.013421993631352658
2022-01-31,-0.04270336432489019
2022-02-28,-0.023513418136338116
2022-03-31,-0.04595738880304401
2022-04-30,-0.11492716604312891
2022-05-31,0.033608731363491184
2022-06-30,-0.07549095531779482
2022-07-31,0.048030308319854775
2022-08-31,-0.08461913618690453
2022-09-30,-0.0993368117281469
2022-10-31,0.030448313493262713
2022-11-30,0.09874966367197247
2022-12-31,-0.00649052840173403
2023-01-31,0.07752846941112068
2023-02-28,-0.0643457642498183
2023-03-31,0.06652805500291792
2023-04-30,0.014992175863747237
2023-05-31,-0.024419461283811228
2023-06-30,0.0245694821504725
2023-07-31,0.019520789487876833
2023-08-31,-0.023215096986373807
2023-09-30,-0.0740381195976233
2023-10-31,-0.02724155844809606
2023-11-30,0.12266648242185973
2023-12-31,0.0518581105762177
2024-01-31,-0.007436229743913669
2024-02-29,-0.02182888970088037
2024-03-31,0.012461458105872847
2024-04-30,-0.03752263180580773
2024-05-31,0.036021561294268256
2024-06-30,-0.0007280256908284155
2024-07-31,0.041901672460449735
2024-08-31,0.04483253396171394
2024-09-30,0.03644108182094352
2024-10-31,-0.062447653473763354
2024-11-30,-0.002730897559897638
