Date,Monthly_Returns
2010-12-31,0.07585275740093644
2011-01-31,-0.010276365529491405
2011-02-28,0.011381689333933798
2011-03-31,-0.0011843312248296378
2011-04-30,0.04467263591069548
2011-05-31,-0.0041629463589449855
2011-06-30,-0.012920119633602067
2011-07-31,0.001732106253119925
2011-08-31,-0.07013806900955011
2011-09-30,-0.15271767084317067
2011-10-31,0.10951250631944154
2011-11-30,-0.03077607700627405
2011-12-31,-0.046695874225632816
2012-01-31,0.09484008896748874
2012-02-29,0.06912066501193537
2012-03-31,-0.013224303356973777
2012-04-30,0.018719549105872924
2012-05-31,-0.07454579616299684
2012-06-30,0.07852003405397379
2012-07-31,0.02928854295060246
2012-08-31,0.03150395461438782
2012-09-30,0.027891686557417472
2012-10-31,0.028388307440658345
2012-11-30,0.02628080419377432
2012-12-31,0.058031423248640746
2013-01-31,0.01617308982277188
2013-02-28,-0.0008943436205781641
2013-03-31,0.027027074668796613
2013-04-30,0.06866491426580446
2013-05-31,-0.09980428956872534
2013-06-30,-0.030763277913446796
2013-07-31,0.011989390726066196
2013-08-31,-0.028137736280201886
2013-09-30,0.08206324125097497
2013-10-31,0.019922467044169556
2013-11-30,-0.026793546442288485
2013-12-31,-0.003597783998563253
2014-01-31,-0.053230454197517485
2014-02-28,0.03974410216517743
2014-03-31,0.008204538512197157
2014-04-30,0.022563071035842874
2014-05-31,0.04666317922796215
2014-06-30,0.009245722914173582
2014-07-31,0.010336100944375426
2014-08-31,0.002557413127475483
2014-09-30,-0.06579990244171519
2014-10-31,0.04426088905362424
2014-11-30,-0.011255863288642032
2014-12-31,-0.023880853699820848
2015-01-31,0.026532297482972478
2015-02-28,0.036767171691292955
2015-03-31,-0.011766415940302255
2015-04-30,0.05082635777946076
2015-05-31,-0.023338652631998413
2015-06-30,-0.03297807034833056
2015-07-31,-0.006490745773610196
2015-08-31,-0.07441037419769858
2015-09-30,0.004305321769758397
2015-10-31,0.05061794962847177
2015-11-30,-0.02334278847615412
2015-12-31,-0.007538612285765578
2016-01-31,-0.04774968266123725
2016-02-29,0.009453178348173052
2016-03-31,0.09099777733946657
2016-04-30,0.020930881931923606
2016-05-31,-0.01702379085222605
2016-06-30,0.01581285945078048
2016-07-31,0.04032558890957172
2016-08-31,-0.005512233523811028
2016-09-30,0.01110506798321964
2016-10-31,-0.04842457417726076
2016-11-30,-0.038914986939377116
2016-12-31,-0.0028012615206391978
2017-01-31,0.03348779690121151
2017-02-28,0.026742294425901703
2017-03-31,0.012547588776620655
2017-04-30,0.022530924345079084
2017-05-31,0.036357036471911686
2017-06-30,0.0015571784096017893
2017-07-31,0.040888854931727
2017-08-31,0.012638865013658185
2017-09-30,0.005009271740844312
2017-10-31,0.004207989664934075
2017-11-30,0.013912286983453592
2017-12-31,0.03177652003327269
2018-01-31,0.05487600282429783
2018-02-28,-0.07051078203846217
2018-03-31,0.028287354904490192
2018-04-30,0.005252908075902951
2018-05-31,-0.01387971357639839
2018-06-30,-0.026071098818285954
2018-07-31,0.015840174489125003
2018-08-31,-0.020339028623254318
2018-09-30,-0.023971860611778806
2018-10-31,-0.05768210836179444
2018-11-30,0.040241998199131546
2018-12-31,-0.022844052696430306
2019-01-31,0.09463812751461309
2019-02-28,-0.007495097391029493
2019-03-31,0.0461889155051427
2019-04-30,-0.017961992697109075
2019-05-31,-0.017777899851680212
2019-06-30,0.03398470263416975
2019-07-31,-0.02067793751519731
2019-08-31,0.002076867703912244
2019-09-30,0.019263280505712688
2019-10-31,0.03942651390024898
2019-11-30,-0.007225047377424465
2019-12-31,0.03919692964424426
2020-01-31,-0.02673879037361071
2020-02-29,-0.05859856470977787
2020-03-31,-0.20742514205079665
2020-04-30,0.040549975548599404
2020-05-31,0.02418812256205216
2020-06-30,0.020336753215802528
2020-07-31,0.01585950064019115
2020-08-31,0.04852318826444613
2020-09-30,-0.021931672406748426
2020-10-31,-0.033532278554019745
2020-11-30,0.1262239969125718
2020-12-31,0.036108668851957626
2021-01-31,-0.02301604595863238
2021-02-28,0.029966026224814257
2021-03-31,0.020311057674168742
2021-04-30,0.024748897864985242
2021-05-31,0.0304515320830947
2021-06-30,-0.008831544496701982
2021-07-31,0.000685455798983714
2021-08-31,0.014725979452249849
2021-09-30,-0.0398830112224815
2021-10-31,0.021132930331913657
2021-11-30,-0.04017388921221754
2021-12-31,0.031678470994526364
2022-01-31,-0.020203927639241726
2022-02-28,-0.02137718218938167
2022-03-31,0.004252903347999881
2022-04-30,-0.06333019165122067
2022-05-31,-0.01664613955385441
2022-06-30,-0.07481712268940854
2022-07-31,0.037271272905868846
2022-08-31,-0.055966938138983346
2022-09-30,-0.11972305684329887
2022-10-31,-0.020440250535431193
2022-11-30,0.13162108604251888
2022-12-31,-0.017133366715086695
2023-01-31,0.06821481123835493
2023-02-28,-0.05480077557880603
2023-03-31,-0.0280306692354253
2023-04-30,0.04091696047727367
2023-05-31,-0.06867152039624103
2023-06-30,0.021866173010947065
2023-07-31,0.05697936193582831
2023-08-31,-0.04331446673756201
2023-09-30,-0.042076791021012694
2023-10-31,-0.03955818093837382
2023-11-30,0.0938753775897565
2023-12-31,0.081445694678828
2024-01-31,-0.0457853595469343
2024-02-29,-0.010088632618202698
2024-03-31,0.04747705229223542
2024-04-30,-0.03607029071542034
2024-05-31,0.026587950970127006
2024-06-30,-0.02709837787615832
2024-07-31,0.050036970058706665
2024-08-31,0.046478968036483215
2024-09-30,0.05226556352095746
2024-10-31,-0.06928157381692623
2024-11-30,-0.005726140277376057
2024-12-31,-0.04066350113769779
